SbjNum,Stations Availability in your Area,5FM,Ama,BBC,Chongwe,Christian Voice,Comet 10,Evelyn,Hot,Joy,Kafue,Komboni,Metro,Millennium,Modern voice,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,Unza,Yatsani,BBC,Byta,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Modern,Mosi-0-Tunya,Namwiaanga,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Salvation Army,SKY,Sun FM,Vision Maacha,Voice of Kalomo,Young Generation,Zambezi,BBC,Breeze,Chikaya,Chongwe,Feel Free,Isoka,Maria,Mphangwe,Parliament,Parliament,PASME,Petauke Explorers,QFM,Radio 1,Radio 2,Radio 4,Radio Café,Radio Christian Voice,Valley,Baptist Faith,BBC,Chimwemwe,Flava FM,Icengelo,Iwave,Jive,Kokoliko,Parliament,Phoenix,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun,Yar,KNC,5FM,BBC,Blue Sky FM,Itezhi tezhi,Itezi tezi,Joy,Maranatha,Mkushi,Phoenix,Power,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,Serenje,Bangwela,BBC,K FM,Luapula,Lubuto,Mpika,Nchelenge,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Tuta,Yangeni,BBC,Beats,FCC Solwezi,Kabangabanga,Kasempa,Lumba,Radio Mano,Mwinilunga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,BBC,Liseli,Luanginga Cheke,Lukulu,Lyambai,Mosi-0-Tunya,Mungu,Parliament,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,BBC,Lubula,luswepo,Lutanda,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Walamo,BBC,Isoka,Kwenje,Mpika,Muchinga,Nakonde,Parliament,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,ZNBC 1,ZNBC 2,ZNBC 4,ZNBC MUSIC,{0},None,don’t know,{0},None,don’t know
60498425,"Isoka,Parliament,Radio 2,Radio Chrsitian Voice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,Not Available,,Strong Signal,,Strong Signal,,,,,,,,,,
60505067,Christian Voice,,,,,Strong Signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505068,"Christian Voice,Komboni,Radio 1,Radio 2,Radio 4",,,,,Available,,,,,,Available,,,,,,,,,,Available,Available,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505620,"Christian Voice,Komboni,Radio 1,Radio 2,Radio 4",,,,,Available,,,,,,Available,,,,,,,,,,Available,Available,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60506416,"Radio 1,Radio 2,Radio 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weak Signal/No Signal,Strong Signal,Strong Signal,,,,,,,,,,,
60506417,don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available,,,
60506418,don’t know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available,,,
60508564,"5FM,BBC,Christian Voice,ZNBC 1,ZNBC 2,ZNBC 4",Available,,Available,,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Available,Available,Available,,,,,,,
60508779,"Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Available,,,,,Strong Signal,Strong Signal,Strong Signal,Strong Signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60510231,"Isoka,Radio 1,Radio 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strong Signal,,,,,,Strong Signal,Strong Signal,,,,,,,,,,,,
