SbjNum,Set Top Box Ownership,Set Top Box Type Owned,Set Top Box Type Currently Owned,Set Top Box Type Currently Owned/Currently Active,Bouquet subscribed to in P12M,Other Bouquet subscribed to in P12M,Most Often Bouquet Subscribed to in a typical Month,Bouquet,Amount,Premium,Compact Plus,Compact,Family,Access,Premium,Plus,Value,Lite,Bouquet,Amount,NOVA,Basic,Classic,Premium,Classic,Smart Plus,Smart Pack,Bouquet,Amount,Setup Box Current Status,Usually access to TV channel(s),Other Usually access to TV channel(s),Household currently subscribed to PAY TV,Pay TV services subscribed to,Other Pay TV services subscribed to,,1 Music,3 Stones TV,ABN TB,Africa Unite,African magic,African Movie Channel (AMC),Ahluibayt TV,Al Jazeera,AMC Series,AMC USA,Amnet,Animal Planet,Animaux,B4U Movies,Baby TV,Bakadoli,Bakadolo,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,BET,BET International,Beta TV,Bloomberg,Bollywood,Boomerang,Bostv,Box,Brazil,Bukedde TV1,Capital TV,Cartoon network,CBC TV,Cbeebies,CBS TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel ED,Channel O,Channel Ten,Chipata,Citizen TV,City Channel Cable Network TV,Classic Music TV,Classica,Clouds TV,CNBC,CNN,Combo,Comedy Central,Crime + Investigation,Da Vinci Learning,Datah,Deen TV,Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,Disney XD,Duck TV,DW-TV,E Africa,E! Entertainment,EA TV,Ebony Life TV,EBRU,Echo TV,Emmanuel TV,ESPN,E-Stars,Euro News (English),Euro Sport News,Eva English,EWTN,Extreme Sports Channel,Family TV,Fashion One,Fashion TV,Fine Living Network,Food Network,Football Tv,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Fuel TV- Sports channel,FX,GBS,Ginx TV,Glam,Glow TV,Gospel Music TV,History,Hope Channel,Hossana Tv,I 24 News,iConcerts,ID Investigation Discovery,Ignition,Inooro TV,Inspiration TV,Iroko Play-African Movies,Iroko Plus-African Movies,ITV Choice,Jim Jam,Joy TV,K24,Kaaba TV,Kass TV,KBC,Kerrang!,Kiss,Kiss (KE),KTN,KTN News,kyk NET,Learn Tv,Life TV,Lifetime,Living Foodz,Lolwe TV,Luso TV,Magic,MBC,Mindset,Miracle Tv,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MSNBC,MTV,MTV Base,Music,Muvi Combo,Muvi Education,Muvi Muvis,Muvi Nkani,Muvi Novela,Muvi Nyimbo,Muvi Prism Africa,Muvi TV,Muvi Yanga,MUVIZ,My TV,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Natura,NBA TV,NBA TV HD,NBS Uganda,Nick Jr,Nickelodeon,Nigezie,Njata TV,NKHANI,North-Western TV,Novela E1,NTV,Nyimbo Channel,One Gospel,One Music,Others,Parliament TV,Peace TV,Peoples Weather,POP,Press Tv,Prime Television,Prism Africa,Q TV,QTV Zambia,Qyou TV,RTV,SABC,Sky News,Smash Hits,Smile of a Child,Sony Entertainment,Sony Max,Soweto TV,Spark,Star Africa 2,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E1,Star Novela E3,Star One,Star Plus,Star Series E1,Star Zone- movies,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Music,StarTimes SA Music,StarTimes Soul,Startimes Sports 2,STN,Studio Universal,STV Guide,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,TCM,Telemundo,Telly Track,The Home Channel,Times Now,Times TV,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,TV Sibuka,TVC News,UBC,Universal Channel,VH1 Classic,VIA,Viasat Crime,Viasat Explore,Viasat History,Viasat Nature,Vuzu,Vuzu AMP,Wap TV,WBS,World Football,Zee Cinema,Zee World,Zing,ZNBC TV 2,ZNBC TV 3,ZNBC TV1,Zodiak TV,Zuku Entertainment,Zuku Kids,Zuku Life,Zuku Movies Action,Zuku Movies Family,Zuku Movies Max,Zuku Nolly,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Zuku Zone,Diamond,{0},None,Don't know
60498425,Yes,Startimes/TopStar, ,Startimes/TopStar,Basic, ,Basic,,,,,,,,,,,,,,205,110,39,,,,,,,No,On a TV set, ,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505067,Yes,DStv, ,DStv,Access, ,Access,,,0,0,0,0,100,,,,,,,,,,,,,,,,No,On a TV set, ,Yes,DSTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505068,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505620,Yes,DStv, ,DStv,Compact, ,Compact,,,0,0,300,0,0,,,,,,,,,,,,,,,,Yes,On a TV set, ,Yes,DSTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60506416,No,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,On a TV set, ,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60506417,Yes,"DStv,Zuku/Strong Zambia", ,"DStv,Zuku/Strong Zambia",Smart Pack, ,Smart Pack,,,0,0,0,0,45,,,,,,,,,,0,0,0,0,,,Yes,On a TV set, ,Yes,DSTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60506418,Yes,"Startimes/TopStar,Zuku/Strong Zambia", ,Startimes/TopStar,Classic, ,Classic,,,,,,,,,,,,,,0,0,30,0,0,0,0,,,No,On a TV set, ,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60508564,Yes,DStv, ,DStv,Compact Plus, ,Compact Plus,,,0,300,0,0,0,,,,,,,,,,,,,,,,Yes,On a TV set, ,Yes,DSTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60508779,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60510231,Yes,"Africa Unite/Muvi,DStv,Startimes/TopStar", ,Startimes/TopStar,Basic, ,Basic,0,0,0,0,0,200,0,,,,,,,200,0,0,,,,,,,Yes,On a TV set, ,Yes,Startimes, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60513115,Yes,"DStv,GOtv", ,DStv,Access, ,Access,,,0,0,0,0,100,0,0,0,0,,,,,,,,,,,,Yes,On a TV set, ,Yes,DSTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514495,Yes,GOtv, ,GOtv,Premium, ,Premium,,,,,,,,140,0,0,0,,,,,,,,,,,,Yes,On a TV set, ,Yes,GOTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514496,Yes,GOtv, ,GOtv,Premium, ,Premium,,,,,,,,140,0,0,0,,,,,,,,,,,,Yes,On a TV set, ,Yes,GOTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514497,Yes,GOtv, ,GOtv,Premium, ,Premium,,,,,,,,140,0,0,0,,,,,,,,,,,,Yes,On a TV set, ,Yes,GOTV, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60514498,Yes,"GOtv,Zuku/Strong Zambia", ,"GOtv,Zuku/Strong Zambia","Premium,Smart Plus", ,"Premium,Smart Plus",,,,,,,,140,0,0,0,,,,,,0,0,320,0,,,Yes,On a TV set, ,No,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
