SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60515348,"ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,B4U Movies,Baby TV,Bakadoli,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,BET,BET International,Bloomberg,Bollywood,Boomerang,Cartoon network,CBC TV,Cbeebies,CBS TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel ED,Channel O,Citizen TV,City Channel Cable Network TV,CNBC,CNN,Comedy Central,Crime + Investigation,Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,Disney XD,DW-TV,E Africa,E! Entertainment,Emmanuel TV,ESPN,Fashion One,Fashion TV,Food Network,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,History,Hope Channel,Hossana Tv,ID Investigation Discovery,ITV Choice,Jim Jam,kyk NET,Lifetime,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,Muvi Nkani,Muvi Novela,Muvi Nyimbo,Muvi Prism Africa,Muvi TV,MUVIZ,Mzansi,National Geographic Channel,Nick Jr,Nickelodeon,Nyimbo Channel,One Gospel,Parliament TV,Prime Television,Prism Africa,Q TV,QTV Zambia,SABC,Sky News,Sony Entertainment,Sony Max,Soweto TV,Star Africa 2,Star Bollywood,Star Chinese 2,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E1,Star Novela E3,Star One,Star Plus,Studio Universal,SuperSport,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select,TBN,Telemundo,Telly Track,The Home Channel,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Travel Channel,Universal Channel,Vuzu,Vuzu AMP,Zee Cinema,Zee World,Zing,Diamond","Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,B4U Movies,Baby TV,Bakadoli,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,BET,BET International,Bloomberg,Bollywood,Boomerang,Cartoon network,CBC TV,Cbeebies,Channel O,Citizen TV,City Channel Cable Network TV,CNBC,CNN,Comedy Central,Crime + Investigation,Discovery Channel,Discovery Family,Discovery IDX,Discovery Science,Disney Channel,Disney XD,DW-TV,E Africa,E! Entertainment,Emmanuel TV,ESPN,Fashion One,Fashion TV,Food Network,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,History,Hope Channel,ID Investigation Discovery,ITV Choice,Jim Jam,kyk NET,Lifetime,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Muvi Novela,Muvi Nyimbo,Muvi Prism Africa,Muvi TV,MUVIZ,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,Nyimbo Channel,One Gospel,Parliament TV,Prime Television,Prism Africa,Q TV,SABC,Sky News,Sony Entertainment,Sony Max,Star Africa 2,Star Bollywood,Star Novela E1,Star Novela E3,Star One,Star Plus,Studio Universal,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select,TBN,Telemundo,Telly Track,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Sports Stars,Trace Urban,Travel Channel,Universal Channel,Zee Cinema,Zee World,Zing,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Disney Channel,Nickelodeon,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,E Africa,E! Entertainment,M-Net Movies Zone,MTV Base,Nat Geo Wild,Nickelodeon,Prime Television,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,City Channel Cable Network TV,CNN,Discovery Family,E Africa,E! Entertainment,Fashion One,Jim Jam,M-Net Movies Zone,MTV Base,Nat Geo Wild,Nickelodeon,Prime Television,Q TV,SuperSport Select,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,Cartoon network,City Channel Cable Network TV,CNN,Comedy Central,Discovery Channel,Discovery Family,Disney Channel,Disney XD,E Africa,E! Entertainment,Emmanuel TV,Fashion One,M-Net Movies Zone,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,Nickelodeon,Q TV,SuperSport Select,Telemundo,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60515349,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC Earth,BBC First,BBC Lifestyle,BBC World News,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CNN,Discovery IDX,Discovery Science,Ebony Life TV,Emmanuel TV,ESPN,E-Stars,Euro News (English),Euro Sport News,Fashion TV,Life TV,M-Net,M-Net Movies Action +,MTV,MTV Base,Muvi Combo,Muvi Education,Muvi Muvis,Muvi Nkani,Muvi Novela,Muvi Nyimbo,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Press Tv,Prime Television,Q TV,QTV Zambia,SABC,Sky News,Sony Max,Soweto TV,Star Africa 2,Star Bollywood,Star KungFu 1,Star Movies 1,Star Movies 1 +2Hrs,Star Novela E3,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,TCM,Telemundo,Telly Track,Times TV,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,Travel Channel,Zee Cinema,Zee World,Zuku Entertainment,Zuku Kids,Zuku Movies Action,Zuku Movies Max","African Magic, Zambezi Magic,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,ZNBC TV2,ZNBC TV1","ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,ZNBC TV2,ZNBC TV1"
60515652,Muvi TV,"African Magic, Zambezi Magic,SuperSport 1,SuperSport 3","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,SuperSport 1,SuperSport 3","African Magic, Zambezi Magic,SuperSport 1,SuperSport 3"
60515653,Muvi TV,"African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic"
60515654,"Channel O,CNN,Disney Channel,Muvi Muvis,Muvi Nyimbo,Muvi TV,Mzansi,Nat Geo Wild,SuperSport 9,Supersport Blitz,Zee World","African Magic, Zambezi Magic,Emmanuel TV,Prime Television",Prime Television,"African Magic, Zambezi Magic,Prime Television","African Magic, Zambezi Magic,Emmanuel TV,Prime Television","African Magic, Zambezi Magic,Emmanuel TV,Prime Television"
60515655,"Emmanuel TV,Muvi TV,One Gospel,One Music,Parliament TV,Q TV,QTV Zambia,SuperSport,SuperSport 1,SuperSport 3","African Magic, Zambezi Magic,Emmanuel TV,SuperSport,SuperSport 1,SuperSport 3,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,SuperSport 1,Zee World","African Magic, Zambezi Magic,Emmanuel TV,SuperSport,SuperSport 1,SuperSport 3,Zee World"
60515656,"Emmanuel TV,Muvi TV,SuperSport,Telemundo,Zee World","Muvi TV,SuperSport,ZNBC TV1",ZNBC TV1,ZNBC TV1,ZNBC TV1,"SuperSport,ZNBC TV1"
60515728,"BBC World News,CNN,E Africa,SuperSport 1,Supersport Blitz","Emmanuel TV,Telemundo",Emmanuel TV,"Emmanuel TV,Telemundo","Emmanuel TV,Telemundo","Emmanuel TV,Telemundo"
60516534,"ABN TB,AMC Series,B4U Movies,Bollywood,Cartoon network,CBS TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Classic Music TV,Discovery Channel,Disney Channel,Duck TV,DW-TV,E! Entertainment,E-Stars,Fashion TV,Fine Living Network,Fox Movies,Fox Sports,France 24,Gospel Music TV,Hope Channel,Iroko Plus-African Movies,Jim Jam,M-Net Movies Action +,MTV,Music,POP,Q TV,QTV Zambia,Sony Max,Star KungFu 1,Star Novela E1,Star Novela E3,Star Plus,Star Zone- movies,StarTimes Bollywood HD,Startimes Sports 2,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,TBN,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","BBC World News,CBC TV,City Channel Cable Network TV,CNN,E Africa,Hope Channel,M-Net Movies Action,MTV Base,Prime Television,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1,Diamond","M-Net Movies Action,MTV Base,SuperSport 2,ZNBC TV2","BBC World News,CBC TV,City Channel Cable Network TV,E Africa,M-Net Movies Action,MTV Base,Prime Television,QTV Zambia,SuperSport 2,SuperSport 3,ZNBC TV2,ZNBC TV1,Diamond","City Channel Cable Network TV,CNN,E Africa,Hope Channel,M-Net Movies Action,MTV Base,Prime Television,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1,Diamond","BBC World News,CBC TV,City Channel Cable Network TV,CNN,E Africa,Hope Channel,M-Net Movies Action,MTV Base,Prime Television,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,Supersport Blitz,ZNBC TV2,ZNBC TV1,Diamond"
60516535,"SuperSport,ZNBC TV3,ZNBC TV1","Muvi TV,ZNBC TV2",Muvi TV,"Muvi TV,ZNBC TV2","Muvi TV,ZNBC TV2","Muvi TV,ZNBC TV2"
60516536,"African Magic, Zambezi Magic,BBC World News,Fox Entertainment,Fox Movies,Fox News,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,TBN","Muvi TV,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond,","Muvi TV,SuperSport 9,Diamond","Muvi TV,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Muvi TV,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Muvi TV,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
60516537,"CNN,Disney Channel,E Africa,E! Entertainment","Al Jazeera,BBC World News,Discovery Channel,Disney Channel,E Africa,MTV Base,National Geographic Channel,Nickelodeon,QTV Zambia,ZNBC TV2,","MTV Base,Nickelodeon","BBC World News,National Geographic Channel,Nickelodeon,QTV Zambia,ZNBC TV2","Al Jazeera,BBC World News,Discovery Channel,Disney Channel,E Africa,MTV Base,National Geographic Channel,Nickelodeon,QTV Zambia,ZNBC TV2","Al Jazeera,BBC World News,Discovery Channel,Disney Channel,E Africa,MTV Base,National Geographic Channel,Nickelodeon,QTV Zambia,ZNBC TV2"
60516538,"BBC World News,Discovery Channel,Prime Television,QTV Zambia","Prime Television,QTV Zambia,Telemundo,Zee World,ZNBC TV2,ZNBC TV1",ZNBC TV2,ZNBC TV2,ZNBC TV2,"Telemundo,ZNBC TV2"
60516539,"BBC World News,Cartoon network,CNBC,Discovery Channel,E Africa,Jim Jam,MTV Base,National Geographic Channel,SuperSport Select","National Geographic Channel,ZNBC TV1",ZNBC TV1,"National Geographic Channel,ZNBC TV1","National Geographic Channel,ZNBC TV1","National Geographic Channel,ZNBC TV1"
60519020,"African Movie Channel (AMC),BBC First,BBC World News,BET,BET International,Boomerang,Cartoon network,Emmanuel TV,Fox,M-Net Movies Action,M-Net Movies Family,M-Net Movies Stars,M-Net Movies Zone,SuperSport,SuperSport 2","African Magic, Zambezi Magic,Al Jazeera,BBC Lifestyle,BBC World News,Boomerang,Emmanuel TV,M-Net Movies Action,M-Net Movies Family,Nickelodeon,One Gospel,SuperSport,TBN,ZNBC TV2,ZNBC TV1",ZNBC TV2,"ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC Lifestyle,BBC World News,Boomerang,Emmanuel TV,M-Net Movies Action,M-Net Movies Family,Nickelodeon,One Gospel,SuperSport,TBN,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC Lifestyle,BBC World News,Boomerang,Emmanuel TV,M-Net Movies Action,M-Net Movies Family,Nickelodeon,One Gospel,SuperSport,TBN,ZNBC TV2,ZNBC TV1"
60519021,"African Movie Channel (AMC),AMC Series,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,BBC World News,BET International,Bloomberg,Cartoon network,Kiss,Magic,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Stars,M-Net Movies Zone,One Gospel,Sony Max,Star KungFu 1,Star Movies 1,SuperSport,Universal Channel","African Magic, Zambezi Magic,Al Jazeera,BBC First,BBC Lifestyle,BBC World News,BET,Boomerang,Cartoon network,E! Entertainment,Mindset,M-Net Movies Action,M-Net Movies Family,Nickelodeon,One Gospel,SuperSport 1,SuperSport 3,SuperSport 4,TCM,Telemundo,Trace Gospel,Zee World,ZNBC TV2,ZNBC TV1",Telemundo,Telemundo,Telemundo,"African Magic, Zambezi Magic,Al Jazeera,BBC First,BBC Lifestyle,BBC World News,BET,Boomerang,Cartoon network,E! Entertainment,Mindset,M-Net Movies Action,M-Net Movies Family,Nickelodeon,One Gospel,SuperSport 1,SuperSport 3,SuperSport 4,TCM,Telemundo,Trace Gospel,Zee World,ZNBC TV2,ZNBC TV1"
60519022,"African Movie Channel (AMC),Discovery Channel,Discovery Family,Disney Channel,Disney XD,Emmanuel TV,ESPN,Fashion One,Food Network,Mindset,M-Net,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,SuperSport,SuperSport 4,TBN,UBC,VH1 Classic,ZNBC TV2,ZNBC TV1,Diamond","Al Jazeera,BBC Brit,BBC First,BBC Lifestyle,BBC World News,BET International,Boomerang,Discovery Channel,Disney XD,E Africa,E! Entertainment,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Family,M-Net Movies Stars,Nickelodeon,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,TBN,TCM,Telemundo,Trace Gospel,Trace Urban,Universal Channel,Zee World,ZNBC TV2,ZNBC TV1,",Trace Urban,Trace Urban,Trace Urban,"Al Jazeera,BBC Brit,BBC First,BBC Lifestyle,BBC World News,BET International,Boomerang,Discovery Channel,Disney XD,E Africa,E! Entertainment,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Family,M-Net Movies Stars,Nickelodeon,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,TBN,TCM,Telemundo,Trace Gospel,Trace Urban,Universal Channel,Zee World"
60519023,"African Magic, Zambezi Magic,E Africa,E! Entertainment,Fox,M-Net Movies Zone,Nickelodeon,Telemundo,Zee World","African Magic, Zambezi Magic,E Africa,E! Entertainment,Fox,M-Net Movies Zone,Mobi Tv,Muvi TV,Nickelodeon,Telemundo,Zee World,ZNBC TV2,ZNBC TV1",ZNBC TV2,ZNBC TV2,"African Magic, Zambezi Magic,E Africa,E! Entertainment,Fox,M-Net Movies Zone,Mobi Tv,Muvi TV,Nickelodeon,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,E Africa,E! Entertainment,Fox,M-Net Movies Zone,Mobi Tv,Muvi TV,Nickelodeon,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
60519024,"African Magic, Zambezi Magic,AMC Series,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Muvi TV,Muvi Yanga,Mzansi,Nick Jr,Nickelodeon,Nigezie,Njata TV,Novela E1,Parliament TV,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,TBN,TCM,Telemundo","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC USA,Animal Planet,Baby TV,BBC Lifestyle,BBC World News,BET,Boomerang,Cartoon network,CCTV News,Discovery Channel,Discovery IDX,Disney Channel,Disney XD,E Africa,E! Entertainment,Emmanuel TV,Fox,Fox Entertainment,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Mzansi,Nick Jr,Nickelodeon,Novela E1,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,TBN,TCM,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Telemundo,Zee World","Telemundo,Zee World,ZNBC TV2","Telemundo,Zee World","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC USA,Animal Planet,Baby TV,BBC Lifestyle,BBC World News,BET,Boomerang,Cartoon network,CCTV News,Discovery Channel,Discovery IDX,Disney Channel,Disney XD,E Africa,E! Entertainment,Emmanuel TV,Fox,Fox Entertainment,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Mzansi,Nick Jr,Nickelodeon,Novela E1,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,TBN,TCM,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
60524230,"ABN TB,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,Baby TV,BBC Earth,BBC World News,Bollywood,Brazil,Capital TV,CBC TV,City Channel Cable Network TV,CNBC,Euro Sport News,Fox Movies,Fox News,Jim Jam,MTV Base,Music,POP,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select,TBN,Zee World,Zuku Sports","Al Jazeera,Baby TV,BBC Earth,BBC World News,Brazil,Capital TV,CBC TV,City Channel Cable Network TV,CNBC,Jim Jam,MTV Base,Music,Parliament TV,POP,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select,TBN,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Zuku Sports","SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1","CBC TV,Jim Jam,MTV Base,Music,Parliament TV,POP,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1","Al Jazeera,BBC World News,CBC TV,Jim Jam,MTV Base,Music,Parliament TV,POP,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","Al Jazeera,Baby TV,BBC Earth,BBC World News,Brazil,Capital TV,CBC TV,City Channel Cable Network TV,CNBC,Jim Jam,MTV Base,Music,Parliament TV,POP,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select,TBN,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
60524231,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Bollywood,CCTV News,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Fashion One,Fashion TV,Gospel Music TV,Hope Channel,Jim Jam,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Parliament TV,Press Tv,Prime Television,QTV Zambia,SuperSport,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,Zee World,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Bollywood,CCTV News,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Fashion One,Fashion TV,Gospel Music TV,Hope Channel,Jim Jam,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,Sky News,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","Al Jazeera,BBC World News,SuperSport 1,ZNBC TV2,ZNBC TV3,ZNBC TV1","Al Jazeera,BBC World News,Parliament TV,Press Tv,Prime Television,QTV Zambia,Sky News,SuperSport,SuperSport 1,SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1","Al Jazeera,BBC World News,CCTV News,Discovery Family,Disney Channel,E Africa,Nat Geo Wild,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Bollywood,CCTV News,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Fashion One,Fashion TV,Gospel Music TV,Hope Channel,Jim Jam,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Parliament TV,Press Tv,Prime Television,Q TV,QTV Zambia,Sky News,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,TBN,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
60524419,"African Movie Channel (AMC),Al Jazeera,AMC Series,B4U Movies,Baby TV,BBC World News,Bollywood,Cartoon network,Channel O,City Channel Cable Network TV,CNN,Discovery Channel,Discovery Family,E! Entertainment,Emmanuel TV,Fashion TV,QTV Zambia,Sky News,Zee World","BBC World News,City Channel Cable Network TV,CNN,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV1,ZNBC TV1,ZNBC TV1,ZNBC TV1
60524420,"African Magic, Zambezi Magic,BET,Discovery Science,Disney Channel,Fox Entertainment,Hope Channel,M-Net,Nickelodeon,Trace Urban,Universal Channel","Nickelodeon,ZNBC TV2,ZNBC TV1,",,"Nickelodeon,","Nickelodeon,","Nickelodeon,ZNBC TV2,ZNBC TV1,"
60524421,"African Magic, Zambezi Magic,B4U Movies,BBC World News,CNBC,CNN,Discovery Family,Telemundo,Zee World",Telemundo,Telemundo,Telemundo,Telemundo,Telemundo
60524422,"Animal Planet,BBC World News,Bollywood,Channel O,Disney Channel,E! Entertainment,Emmanuel TV,Fashion One,Food Network,Fox Entertainment,Gospel Music TV,Mzansi,One Gospel,Prime Television,Sky News,SuperSport,Zee Cinema,Diamond","E! Entertainment,Zee World",Zee World,"E! Entertainment,Zee World","E! Entertainment,Zee World","E! Entertainment,Zee World"
60524423,M-Net,,,,,
60525354,"SuperSport,SuperSport 3,SuperSport 9","BBC World News,M-Net,Muvi TV,Prime Television,SuperSport,SuperSport 3,SuperSport 9,","M-Net,Prime Television","BBC World News,M-Net,Prime Television,SuperSport 3","BBC World News,M-Net,Muvi TV,Prime Television,SuperSport,SuperSport 3,SuperSport 9","BBC World News,M-Net,Muvi TV,Prime Television,SuperSport,SuperSport 3,SuperSport 9"
60525355,,,,,,
60525356,"BBC World News,Channel O,CNN,Discovery Family,M-Net Movies Action","BBC World News,Channel O,CNN,Discovery Family,E Africa,M-Net Movies Action,Muvi TV,Prime Television,ZNBC TV1,","E Africa,M-Net Movies Action,Prime Television","Channel O,CNN,Discovery Family,E Africa,M-Net Movies Action,Prime Television,ZNBC TV1","BBC World News,Channel O,CNN,Discovery Family,E Africa,M-Net Movies Action,Muvi TV,Prime Television,ZNBC TV1","BBC World News,Channel O,CNN,Discovery Family,E Africa,M-Net Movies Action,Muvi TV,Prime Television,ZNBC TV1"
60525357,"Zee World,ZNBC TV2,ZNBC TV1","Magic,Prime Television,Zee World,ZNBC TV2,ZNBC TV1,","Magic,Prime Television","Magic,Prime Television","Magic,Prime Television,Zee World","Magic,Prime Television,Zee World,ZNBC TV1"
60526753,"Sony Entertainment,Sony Max,Studio Universal,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TLC Entertainment,Vuzu,Zee Cinema,Zee World",Al Jazeera,Al Jazeera,Al Jazeera,Al Jazeera,Al Jazeera
60528190,"Africa Unite,Al Jazeera,B4U Movies,BBC World News,ZNBC TV2,ZNBC TV3,ZNBC TV1","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV1,ZNBC TV1,"Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
