,Eva English  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Eva English  Tueday
14,18:45  -  18:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
15,18:15  -  18:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
16,19:45  -  19:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
17,19:00  -  19:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
18,21:30  -  21:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
19,21:15  -  21:29,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
20,22:00  -  22:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21,19:30  -  19:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22,21:45  -  21:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
23,20:45  -  20:59,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
24,20:30  -  20:44,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
25,18:00  -  18:14,82013392,Eastern,Chipata,Rural,Male,3,None,C1,Completed high School,Other Christian,Student,C1,"K 4,628   -  K 5,364",Yes,25 – 34,"10:45  -  10:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
