,City Channel Cable Network TV  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,City Channel Cable Network TV  Monday
10,19:30  -  19:44,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
11,18:45  -  18:59,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
12,21:00  -  21:14,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13,18:15  -  18:29,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14,20:00  -  20:14,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
15,20:45  -  20:59,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16,18:30  -  18:44,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17,19:45  -  19:59,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18,20:15  -  20:29,82213893,Eastern,Chipata,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19,15:45  -  15:59,82275793,Eastern,Chipata,Rural,Male,1,None,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,11:30  -  11:44,12:30  -  12:44,13:15  -  13:29,14:00  -  14:14,14:45  -  14:59,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,20:00  -  20:14,20:15  -  20:29,20:45  -  20:59"
